Datetime,solar_mw,wind-direction,wind-speed,humidity,average-wind-speed-(period),average-pressure-(period),temperature
03-08-2023,11385,27,7.5,75,8,29.82,69
02-08-2023,12390,27,7.5,77,5,29.85,69
02-08-2023,13312,,7.5,70,0,29.89,69
02-08-2023,13832,,7.5,33,0,29.91,69
02-08-2023,14038,,7.5,21,3,29.89,69
02-08-2023,14453,27,7.5,20,23,29.85,69
02-08-2023,14898,27,,36,15,29.83,69
02-08-2023,14924,27,,49,6,29.86,69
02-08-2023,14791,27,,67,6,,72
02-08-2023,14941,28,6.8,49,0,,72
02-08-2023,15244,28,6.8,54,0,,72
02-08-2023,15191,28,6.8,64,0,,72
02-08-2023,14666,28,6.8,23,9,,72
02-08-2023,13966,28,6.8,30,18,,72
02-08-2023,13232,28,6.8,65,11,29.84,72
02-08-2023,12555,28,6.8,75,5,29.85,72
02-08-2023,11850,28,7.9,72,6,29.84,73
02-08-2023,11181,28,7.9,78,6,29.86,73
02-08-2023,10490,28,7.9,63,0,29.88,73
02-08-2023,10058,28,7.9,69,3,29.88,73
02-08-2023,10082,28,7.9,33,10,29.84,73
02-08-2023,10353,28,7.9,27,20,29.81,73
02-08-2023,10830,28,7.9,53,14,29.81,73
02-08-2023,11457,28,7.9,70,6,29.85,73
02-08-2023,12362,31,6.9,73,0,29.83,76
01-08-2023,13569,30,6.9,78,6,29.82,76
01-08-2023,14687,30,6.9,70,0,29.84,76
01-08-2023,15461,30,6.9,64,3,29.85,76
01-08-2023,15973,30,6.9,62,6,29.79,76
01-08-2023,16638,30,6.9,30,15,29.75,76
01-08-2023,17131,30,6.9,27,17,29.74,76
01-08-2023,17208,30,6.9,33,5,29.77,76
01-08-2023,16713,30,8.5,53,3,29.77,77
01-08-2023,16345,26,8.5,70,7,29.76,77
01-08-2023,15987,26,8.5,61,0,29.8,77
01-08-2023,15360,26,8.5,64,3,29.82,77
01-08-2023,14639,26,8.5,49,5,29.78,77
01-08-2023,13973,26,8.5,19,22,29.75,77
01-08-2023,13080,26,8.5,51,15,29.76,77
01-08-2023,12453,26,8.5,37,8,29.79,77
01-08-2023,11840,26,8.6,57,6,29.78,75
01-08-2023,11177,27,8.6,73,3,29.78,75
01-08-2023,10530,27,8.6,52,3,29.81,75
01-08-2023,10033,27,8.6,66,3,29.82,75
01-08-2023,9944,27,8.6,29,16,29.79,75
01-08-2023,10115,27,8.6,39,18,29.75,75
01-08-2023,10398,27,8.6,57,14,29.74,75
01-08-2023,10947,27,8.6,65,8,29.76,75
01-08-2023,11712,28,14.9,81,8,29.76,62
31-07-2023,12787,30,14.9,87,7,29.74,62
